"2014-05-31T15:13:35.000-04:00",OH_B4-Saturday-087700_M86_326,401905
"2014-05-31T15:13:36.000-04:00",OH_B4-Saturday-088200_M86_313,401930
"2014-05-31T15:13:45.000-04:00",OH_B4-Saturday-090000_M86_306,401906
"2014-05-31T15:13:39.000-04:00",OH_B4-Saturday-091100_M86_307,401897
"2014-05-31T15:13:30.000-04:00",OH_B4-Saturday-090600_M86_324,401899
"2014-05-31T15:13:19.000-04:00",MQ_B4-Saturday-090600_M79_14,401884
"2014-05-31T15:13:35.000-04:00",MQ_B4-Saturday-088800_M79_8,401877
"2014-05-31T15:13:41.000-04:00",MQ_B4-Saturday-088100_M79_15,403522
"2014-05-31T15:13:29.000-04:00",MQ_B4-Saturday-090800_M79_9,403523
"2014-05-31T15:13:24.000-04:00",OS_E4-Saturday-085800_M31_5,903074
"2014-05-31T15:13:25.000-04:00",OS_E4-Saturday-090100_M31_6,403621
"2014-05-31T15:13:48.000-04:00",OS_E4-Saturday-087100_M31_12,402339
"2014-05-31T15:13:20.000-04:00",OS_E4-Saturday-086800_M31_11,903074
"2014-05-31T15:13:34.000-04:00",MQ_B4-Saturday-087600_M66_4,803057
"2014-05-31T15:13:45.000-04:00",MQ_B4-Saturday-088800_M66_16,403996
"2014-05-31T15:13:35.000-04:00",OH_B4-Saturday-087700_M86_326,401905
"2014-05-31T15:13:36.000-04:00",OH_B4-Saturday-088200_M86_313,401930
"2014-05-31T15:13:45.000-04:00",OH_B4-Saturday-090000_M86_306,401906
"2014-05-31T15:14:01.000-04:00",OH_B4-Saturday-090600_M86_324,401899
"2014-05-31T15:13:39.000-04:00",OH_B4-Saturday-091100_M86_307,401897
"2014-05-31T15:14:00.000-04:00",MQ_B4-Saturday-090100_M79_16,401870
"2014-05-31T15:13:35.000-04:00",MQ_B4-Saturday-088800_M79_8,401877
"2014-05-31T15:13:41.000-04:00",MQ_B4-Saturday-088100_M79_15,403522
"2014-05-31T15:14:00.000-04:00",MQ_B4-Saturday-090800_M79_9,403523
"2014-05-31T15:13:55.000-04:00",OS_E4-Saturday-085800_M31_5,903074
"2014-05-31T15:13:48.000-04:00",OS_E4-Saturday-087100_M31_12,402339
"2014-05-31T15:13:52.000-04:00",OS_E4-Saturday-086800_M31_11,903074
"2014-05-31T15:13:34.000-04:00",MQ_B4-Saturday-087600_M66_4,803057
"2014-05-31T15:13:45.000-04:00",MQ_B4-Saturday-088800_M66_16,403996
"2014-05-31T15:14:02.250-04:00",OS_E4-Saturday-082200_M15_27,404844
"2014-05-31T15:14:11.000-04:00",OH_B4-Saturday-091100_M86_307,401897
"2014-05-31T15:14:07.000-04:00",OH_B4-Saturday-088200_M86_313,401930
"2014-05-31T15:14:01.000-04:00",OH_B4-Saturday-090600_M86_324,401899
"2014-05-31T15:14:00.000-04:00",MQ_B4-Saturday-090100_M79_16,401870
"2014-05-31T15:14:14.000-04:00",MQ_B4-Saturday-090000_M79_17,401884
"2014-05-31T15:14:12.000-04:00",MQ_B4-Saturday-088100_M79_15,403522
"2014-05-31T15:14:00.000-04:00",MQ_B4-Saturday-090800_M79_9,403523
"2014-05-31T15:14:14.000-04:00",OH_B4-Saturday-090800_M96_413,401936
"2014-05-31T15:13:55.000-04:00",OS_E4-Saturday-085800_M31_5,903074
"2014-05-31T15:13:48.000-04:00",OS_E4-Saturday-087100_M31_12,402339
"2014-05-31T15:14:17.000-04:00",OS_E4-Saturday-087800_M31_9,402229
"2014-05-31T15:13:52.000-04:00",OS_E4-Saturday-086800_M31_11,903074
"2014-05-31T15:14:10.000-04:00",MQ_B4-Saturday-091300_M66_13,403489
"2014-05-31T15:14:17.000-04:00",MQ_B4-Saturday-088800_M66_16,403996
"2014-05-31T15:14:18.000-04:00",OS_E4-Saturday-090000_M15_12,401688
"2014-05-31T15:14:14.000-04:00",OS_E4-Saturday-087200_M15_30,401761
"2014-05-31T15:14:02.250-04:00",OS_E4-Saturday-082200_M15_27,404844
"2014-05-31T15:14:29.000-04:00",OH_B4-Saturday-088700_M86_310,401929
"2014-05-31T15:14:11.000-04:00",OH_B4-Saturday-091100_M86_307,401897
"2014-05-31T15:14:07.000-04:00",OH_B4-Saturday-088200_M86_313,401930
"2014-05-31T15:14:24.000-04:00",OH_B4-Saturday-088800_M96_432,401954
"2014-05-31T15:14:21.000-04:00",OH_B4-Saturday-089800_M96_415,404075
"2014-05-31T15:14:14.000-04:00",OH_B4-Saturday-090800_M96_413,401936
"2014-05-31T15:14:22.000-04:00",MQ_B4-Saturday-090600_M79_14,405371
"2014-05-31T15:14:14.000-04:00",MQ_B4-Saturday-090000_M79_17,401884
"2014-05-31T15:14:12.000-04:00",MQ_B4-Saturday-088100_M79_15,403522
"2014-05-31T15:14:00.000-04:00",MQ_B4-Saturday-090800_M79_9,403523
"2014-05-31T15:14:27.000-04:00",OS_E4-Saturday-085800_M31_5,903074
"2014-05-31T15:14:17.000-04:00",OS_E4-Saturday-087800_M31_9,402229
"2014-05-31T15:14:24.000-04:00",OS_E4-Saturday-086800_M31_11,903074
"2014-05-31T15:14:10.000-04:00",MQ_B4-Saturday-091300_M66_13,403489
"2014-05-31T15:14:17.000-04:00",MQ_B4-Saturday-088800_M66_16,403996
"2014-05-31T15:14:18.000-04:00",OS_E4-Saturday-090000_M15_12,401688
"2014-05-31T15:14:14.000-04:00",OS_E4-Saturday-087200_M15_30,401761
"2014-05-31T15:14:25.000-04:00",OS_E4-Saturday-084200_M15_13,401787
"2014-05-31T15:14:02.250-04:00",OS_E4-Saturday-082200_M15_27,404844
"2014-05-31T15:14:29.000-04:00",OH_B4-Saturday-088700_M86_310,401929
"2014-05-31T15:14:38.000-04:00",OH_B4-Saturday-089400_M86_328,401906
"2014-05-31T15:14:39.000-04:00",OH_B4-Saturday-088200_M86_313,401930
"2014-05-31T15:14:24.000-04:00",OH_B4-Saturday-088800_M96_432,401954
"2014-05-31T15:14:21.000-04:00",OH_B4-Saturday-089800_M96_415,404075
"2014-05-31T15:14:40.000-04:00",OH_B4-Saturday-089100_M96_408,404075
"2014-05-31T15:14:45.000-04:00",OH_B4-Saturday-090800_M96_413,401936
"2014-05-31T15:14:36.000-04:00",OH_B4-Saturday-089500_M96_427,401942
